Ticker,Stock Parameter
01C (01CYBATON),01CYBERATON
06N (06MAGNA),06N
08N (08OCTAVA),OCTAVA
11B (11BIT),11-BIT-STUDIOS
1AT (ATAL),ATAL
3RG (3RGAMES),3RG
4MB (4MOBILITY),4MOBILITY
4MS (4MASS),4MS
7FT (7FIT),7FT
7LV (7LEVELS),7LV
AAS (AALLIANCE),AAS
AAT (ALTA),AAT
ABE (ABPL),ABE
ABK (ABAK),ABAK
ABS (ASSECOBS),ASSECO-BUSINESS-SOLUTIONS
ACA (ACARTUS),ACARTUS
ACG (ACAUTOGAZ),ACG
ACP (ASSECOPOL),ASSECO-POLAND
ACT (ACTION),ACTION
ADS (ADIDAS),ADS
ADV (ADIUVO),ADIUVO-INVESTMENT
ADX (ADATEX),ADX
AER (AERFINANC),HYDROPRESS
AFC (AKCEPTFIN),AKCEPT-FINANCE
AFH (AFHOL),AFORTI-HOLDING
AGL (AGROLIGA),AGROLIGA-GROUP
AGO (AGORA),AGORA
AGP (AGROMEP),AGROMEP
AGT (AGROTON),AGROTON
AIN (ABSINVEST),ABS-INVESTMENT
AIT (AITON),AITON-CALDWELL
ALE (ALLEGRO),ALE
ALG (AIGAMES),ALG
ALI (ALTUS),ALTUS
ALL (AILLERON),ALL
ALR (ALIOR),ALIOR-BANK
ALV (ALLIANZ),ALV
AMB (AMBRA),AMBRA
AMC (AMICA),AMICA
AML (ALUMETAL),ALUMETAL
AMV (ASMODEV),AMV
ANR (ANSWEAR),ANR
AOL (ANALIZY),ANALIZY-ONLINE
APA (APANET),APANET
APC (APOLLO),APC
APE (APSENERGY),APS-ENERGIA
APL (AMPLI),AMPLI
APN (APLISENS),APLISENS
APR (AUTOPARTN),APR
APS,APS
APT (APATOR),APATOR
AQA (AQUAPOZ),AQUA
AQT (AQUATECH),AQT
AQU (AQUABB),AQUA-BIELSKO-BIALA
ARE (ARENAPL),ARE
ARG (ARTGAMES),ARG
ARH (ARCHICOM),ARH
ARI,AGENCJA-ROZWOJU-INNOWACJI
ART (ARTIFEX),ARTIFEX
ASA (APIS),APIS
ASB (ASBIS),ASBISC
ASE (ASSECOSEE),ASSECO-SOUTH-EASTERN-EUROPE
ASM (ASMGROUP),ASM-GROUP
ASR (ASTRO),ASTRO
AST (ASTARTA),ASTARTA
ATA (ATCCARGO),ATC-CARGO
ATC (ARCTIC),ARCTIC-PAPER
ATD (ATENDE),ATENDE
ATG (ATMGRUPA),ATM-GRUPA
ATJ (ATOMJELLY),ATJ
ATO (ATONHT),ATON-HT
ATP (ATLANTAPL),ATLANTA-POLAND
ATR (ATREM),ATREM
ATS (ATLANTIS),ATS
ATT (GRUPAAZOTY),ATT
AUX (AUXILIA),AUX
AVE (ADVERTIGO),ADVERTIGO
AWM (AIRWAY),AIRWAY-MEDIX
AZC (AZTEC),AZTEC-INTERNATIONAL
B24 (BRAND24),B24
BAH (BAHOLDING),BAHOLDING
BAY (BAYER),BAY
BBD (BBIDEV),BBI-DEVELOPMENT
BBT (BOOMBIT),BBT
BCM (BETACOM),BETACOM
BCS (BIGCHEESE),BCS
BCX (BIOCELTIX),BCX
BDX (BUDIMEX),BUDIMEX
BDZ (BEDZIN),ELEKTROCIEPLOWNIA-BEDZIN
BEE (BEEIN),BEE
BEP (BIOMASS),BIOMASS-ENERGY-PROJECT
BER (BIOERG),BIOERG
BFC (BIOFACTOR),BIOFACTORY
BFT (BENEFIT),BENEFIT-SYSTEMS
BGD (BIOGENED),BIOGENED
BHW (HANDLOWY),BANK-HANDLOWY
BHX (BINARY),BINARY-HELIX
BIO (BIOTON),BIOTON
BIP (BIOPLANET),BIO-PLANET
BKD (BKDGAMES),BKD
BLO (BLOOBER),BLOOBER-TEAM
BLT (BALTICON),BALTICON
BMC (BUMECH),BUMECH
BMW,BMW
BMX (BIOMAXIMA),BIOMAXIMA
BNP (BNPPPL),BNP
BOS,BANK-OCHRONY-SRODOWISKA
BOW (BOWIM),BOWIM
BPC,BLACK-PEARL-CAPITAL
BPN (BLACKPOIN),BLACK-POINT
BRA (BRASTER),BRASTER
BRH (BERGHOLDI),BRH
BRO (CZARNKOW),BROWAR-GONTYNIEC
BRP (BLACKROSE),BRP
BRS (BORYSZEW),BORYSZEW
BSA (BRAS),BRAS
BSH,BSH
BST (BEST),BEST
BTC (BTCSTUDIO),BTC
BTG (BLUETAX),BLUE-TAX-GROUP
BTK (BIZTECH),BTK
BTX (BETOMAX),BTX
BVT,BVT
CAI (CARLSON),CAI
CAR (INTERCARS),INTER-CARS
CAV (CAVATINA),CAV
CBD (CANNABIS),CBD
CBF (CYBERFLKS),CBF
CCC,CCC
CCE (CCENERGY),CLEAN-CARBON-ENERGY
CCR (CONSTANCE),CCR
CCS,CYFROWE-CENTRUM-SERWISOWE
CDA,CDA
CDL (CDRL),CDL
CDR (CDPROJEKT),CD-PROJEKT
CEZ,CEZ
CFG,CFG
CFI,CFI-HOLDING
CFS (CFSA),CFS
CHP (CHERRY),CHP
CIE (CIECH),CIECH
CIG (CIGAMES),CI-GAMES
CLA (CONSOLE),CLA
CLC (COLUMBUS),COLUMBUS-CAPITAL
CLD (CLOUD),CLOUD-TECHNOLOGIES
